country,iso2,year,value
Australia,AUS,2021,29.73753
Australia,AUS,2021,29.73753
Canada,CAN,2022,23.89166
Canada,CAN,2022,23.89166
Czechia,CZE,2022,85.877396
Czechia,CZE,2022,85.877396
Denmark,DNK,2022,9.05157
Denmark,DNK,2022,9.05157
France,FRA,2022,8.09507
France,FRA,2022,8.09507
Germany,DEU,2022,45.943825
Germany,DEU,2022,45.943825
Iceland,ISL,2021,52.077324
Iceland,ISL,2021,52.077324
Japan,JPN,2023,2.4767559
Japan,JPN,2023,2.4767559
Mexico,MEX,2020,4.5213995
Mexico,MEX,2020,4.5213995
New Zealand,NZL,2018,4.2239723
New Zealand,NZL,2018,4.2239723
Norway,NOR,2020,1.2268863
Norway,NOR,2020,1.2268863
Poland,POL,2019,6.64557
Poland,POL,2019,6.64557
Spain,ESP,2022,15.282989
Spain,ESP,2022,15.282989
Sweden,SWE,2017,6.4328856
Sweden,SWE,2017,6.4328856
United Kingdom,GBR,2023,16.498774
United Kingdom,GBR,2023,16.498774
United States,USA,2023,75.547935
United States,USA,2023,75.547935
